1,삼성전자,"60,600","상승
				1,300",+2.19%,100,"3,617,688","5,969,783",53.26,"14,834,420",14.81,4.15,
2,SK하이닉스,"188,500","상승
				2,500",+1.34%,"5,000","1,372,284","728,002",54.24,"2,617,244",54.92,-15.61,
3,LG에너지솔루션,"411,000",보합0,0.00%,500,"961,740","234,000",4.94,"177,481",-572.42,6.36,
4,삼성바이오로직스,"1,033,000","상승
				9,000",+0.88%,"2,500","735,227","71,174",13.37,"55,388",71.49,9.12,
5,현대차,"249,000","상승
				500",+0.20%,"5,000","521,446","209,416",41.43,"236,382",5.40,13.68,
6,셀트리온,"195,900","하락
				1,400",-0.71%,"1,000","425,145","217,021",22.87,"323,630",110.68,5.07,
7,삼성전자우,"49,100","상승
				750",+1.55%,100,"404,037","822,887",74.68,"1,798,292",12.00,N/A,
8,기아,"100,700","하락
				400",-0.40%,"5,000","402,657","399,858",40.25,"357,922",4.21,20.44,
9,KB금융,"97,000","상승
				5,700",+6.24%,"5,000","381,723","393,528",78.34,"1,556,102",8.86,8.44,
10,POSCO홀딩스,"364,500","하락
				2,500",-0.68%,"5,000","301,166","82,624",28.76,"186,917",22.79,3.18,
11,신한지주,"58,600","상승
				1,100",+1.91%,"5,000","298,504","509,393",61.40,"1,248,528",6.71,8.36,
12,NAVER,"170,900","하락
				2,400",-1.38%,100,"274,781","160,785",42.93,"491,419",18.10,4.41,
13,삼성SDI,"362,000","하락
				11,000",-2.95%,"5,000","248,928","68,765",38.55,"238,264",14.94,11.48,
14,LG화학,"349,000","하락
				5,500",-1.55%,"5,000","246,367","70,592",35.08,"207,793",172.18,4.20,
15,삼성물산,"133,800","하락
				500",-0.37%,100,"237,875","177,784",27.11,"109,947",10.98,7.28,
16,현대모비스,"223,000","하락
				1,500",-0.67%,"5,000","207,379","92,995",40.43,"56,901",5.97,8.73,
17,삼성생명,"99,500","상승
				2,000",+2.05%,500,"199,000","200,000",21.51,"265,865",8.69,4.95,
18,메리츠금융지주,"103,200","상승
				1,500",+1.47%,500,"196,823","190,720",16.77,"262,612",9.25,28.11,
19,포스코퓨처엠,"244,500","하락
				2,000",-0.81%,500,"189,398","77,463",9.54,"176,405","-12,225.00",1.19,
20,하나금융지주,"64,000","상승
				3,000",+4.92%,"5,000","183,834","287,241",68.98,"1,358,522",5.40,9.01,
21,고려아연,"808,000","상승
				14,000",+1.76%,"5,000","167,283","20,703",18.21,"252,212",30.35,5.72,
22,삼성화재,"350,000","상승
				14,000",+4.17%,500,"165,812","47,375",53.91,"111,409",9.24,12.73,
23,HD현대중공업,"185,300","상승
				3,000",+1.65%,"5,000","164,497","88,773",10.41,"103,967",80.67,0.47,
24,한화에어로스페이스,"357,000","상승
				500",+0.14%,"5,000","162,725","45,581",43.00,"172,445",64.64,25.60,
25,카카오,"36,450","하락
				950",-2.54%,100,"161,667","443,531",26.51,"867,442",-16.67,-10.26,
26,LG전자,"98,600","상승
				100",+0.10%,"5,000","161,357","163,648",33.95,"206,873",16.01,3.69,
27,크래프톤,"330,500","하락
				1,000",-0.30%,100,"158,300","47,897",41.37,"34,464",17.92,11.16,
28,KT&G,"106,700","상승
				4,500",+4.40%,"5,000","139,054","130,322",44.52,"200,813",13.82,9.76,
29,HD한국조선해양,"186,700","상승
				1,500",+0.81%,"5,000","132,133","70,773",31.27,"83,784",16.67,2.26,
30,한국전력,"20,450","상승
				600",+3.02%,"5,000","131,282","641,964",14.99,"914,619",4.95,-12.63,
31,유한양행,"160,000","하락
				1,300",-0.81%,"1,000","128,334","80,209",21.29,"2,026,641",86.86,6.74,
32,HMM,"17,130","상승
				260",+1.54%,"5,000","128,310","749,039",11.07,"538,406",7.20,4.59,
33,우리금융지주,"16,650","상승
				740",+4.65%,"5,000","123,641","742,592",44.88,"4,357,562",4.58,8.30,
34,LG,"78,600","상승
				400",+0.51%,"5,000","123,639","157,301",35.15,"48,472",12.51,4.89,
35,SK텔레콤,"56,200","상승
				500",+0.90%,100,"120,712","214,790",42.65,"201,343",10.49,9.63,
36,두산에너빌리티,"18,410","상승
				310",+1.71%,"5,000","117,927","640,561",21.20,"1,515,450",74.23,0.78,
37,SK스퀘어,"85,600","상승
				1,100",+1.30%,100,"115,346","134,750",53.10,"128,432",11.59,-8.04,
38,삼성에스디에스,"148,700","상승
				2,600",+1.78%,500,"115,061","77,378",19.37,"66,975",16.30,8.22,
39,SK이노베이션,"120,100","상승
				1,600",+1.35%,"5,000","114,978","95,736",22.98,"156,413",-329.95,1.22,
40,기업은행,"14,360","상승
				280",+1.99%,"5,000","114,510","797,426",15.08,"1,633,365",4.28,8.79,
41,HD현대일렉트릭,"315,500","상승
				7,500",+2.44%,"5,000","113,729","36,047",35.13,"85,337",25.40,27.71,
42,SK,"153,100","상승
				1,600",+1.06%,200,"111,002","72,503",23.75,"75,486",-26.90,-3.67,
43,한미반도체,"113,300","상승
				3,800",+3.47%,100,"109,894","96,994",11.77,"779,472",69.85,55.54,
44,카카오뱅크,"22,350","상승
				250",+1.13%,"5,000","106,601","476,964",16.67,"461,935",26.48,6.00,
45,KT,"40,650","상승
				450",+1.12%,"5,000","102,447","252,022",47.93,"402,830",9.63,6.05,
46,포스코인터내셔널,"56,400","상승
				500",+0.89%,"5,000","99,220","175,923",6.82,"209,165",15.59,13.36,
47,삼성전기,"130,400","상승
				600",+0.46%,"5,000","97,401","74,694",33.89,"129,648",18.25,5.50,
48,한화오션,"30,550","하락
				300",-0.97%,"5,000","93,609","306,413",17.80,"408,883",15.96,6.33,
49,SK바이오팜,"119,300","상승
				1,500",+1.27%,500,"93,428","78,313",12.11,"627,676",276.16,-10.96,
50,KODEX CD금리액티브(합성),"1,051,125","상승
				85",+0.01%,0,"87,458","8,320",0.00,"190,512",N/A,N/A,
